CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
307044	2077.83057	5084508649128	0.58794	0.60217	2077.72266	0.10791	5574	1	0.58530	0.61212	1	0.59566	0.61336	1	0.59048	0.61274	1	0.35729	0.76777	25.91978	1.01559	1	0.64557	0.75441	26.60287	1.01559	1	-0.03090	-0.04754	0.55990	0.00466	1	0.03192	-0.04697	0.58315	0.00501	1	0.31406	0.38056	0	0
307045	2077.83716	5084508712908	0.58808	0.60276	2077.72266	0.11450	5574	1	0.58530	0.61212	1	0.59566	0.61336	1	0.59048	0.61274	1	0.35716	0.76786	26.12559	1.01559	1	0.64557	0.75441	26.60287	1.01559	1	-0.03090	-0.04754	0.55990	0.00468	1	0.03192	-0.04697	0.58315	0.00501	1	0.31406	0.38056	0	0
307046	2077.84326	5084508775013	0.58799	0.60314	2077.72266	0.12061	5574	1	0.57995	0.60763	1	0.59274	0.61245	1	0.58634	0.61004	1	0.35710	0.76781	26.19660	1.01559	1	0.64555	0.75442	26.61641	1.01559	1	-0.03090	-0.04754	0.55990	0.00464	1	0.03192	-0.04697	0.58315	0.00501	1	0.31406	0.38056	0	START=1611141998911
307047	2077.84985	5084508840986	0.58799	0.60331	2077.72266	0.12720	5574	1	0.58066	0.60343	1	0.59532	0.60971	1	0.58799	0.60657	1	0.35710	0.76781	26.19660	1.01559	1	0.64555	0.75442	26.61641	1.01559	1	-0.03090	-0.04754	0.55990	0.00464	1	0.03192	-0.04697	0.58315	0.00501	1	0.31406	0.38056	0	START=1611141998911
307048	2077.85693	5084508910779	0.58802	0.60324	2077.72266	0.13428	5574	1	0.58081	0.59845	1	0.59645	0.60522	1	0.58863	0.60184	1	0.35713	0.76776	26.06727	1.02254	1	0.64553	0.75440	26.61585	1.02254	1	-0.03165	-0.04863	0.57277	0.00465	1	0.03192	-0.04697	0.58315	0.00502	1	0.31406	0.38056	0	0
307049	2077.86377	5084508980929	0.58845	0.60304	2077.72266	0.14111	5574	1	0.59801	0.59448	1	0.59691	0.60325	1	0.59746	0.59887	1	0.35707	0.76776	26.04981	1.02948	1	0.64555	0.75442	26.61641	1.02948	1	-0.03165	-0.04863	0.57277	0.00464	1	0.03192	-0.04697	0.58315	0.00501	1	0.31406	0.38056	0	STEP 1: 1611141998924
307050	2077.87061	5084509049135	0.58884	0.60256	2077.72266	0.14795	5574	1	0.59875	0.58157	1	0.59631	0.60239	1	0.59753	0.59198	1	0.35707	0.76780	26.00066	1.03643	1	0.64556	0.75441	26.70412	1.03643	1	-0.03165	-0.04863	0.57277	0.00462	1	0.03192	-0.04697	0.58315	0.00500	1	0.31406	0.38056	0	0
307051	2077.87720	5084509113196	0.58924	0.60192	2077.72266	0.15454	5574	1	0.59902	0.57656	1	0.59742	0.59795	1	0.59822	0.58725	1	0.35703	0.76771	26.09868	1.04337	1	0.64556	0.75442	26.60806	1.04337	1	-0.03165	-0.04863	0.57277	0.00461	1	0.03192	-0.04697	0.58315	0.00500	1	0.31406	0.38056	0	0
307052	2077.88354	5084509178888	0.58966	0.60134	2077.72266	0.16089	5574	1	0.59967	0.58086	1	0.60016	0.59383	1	0.59992	0.58734	1	0.35711	0.76775	26.07195	1.04337	1	0.64559	0.75440	26.76198	1.04337	1	-0.03165	-0.04863	0.57277	0.00462	1	0.03192	-0.04697	0.58315	0.00500	1	0.31406	0.38056	0	0
307053	2077.89038	5084509246390	0.59016	0.60094	2077.72266	0.16772	5574	1	0.60025	0.58256	1	0.60486	0.59935	1	0.60255	0.59096	1	0.35708	0.76775	26.05295	1.04337	1	0.64561	0.75439	26.72261	1.04337	1	-0.03165	-0.04863	0.57277	0.00463	1	0.03192	-0.04697	0.58315	0.00499	1	0.31406	0.38056	0	0
